"Date","Comp","Negative","Neutral","Positive"
"2017-08-06","0.976","0.055","0.771","0.174"
"2017-08-07","0.923","0.057","0.813","0.129"
"2017-08-08","0.785","0.102","0.75","0.148"
"2017-08-09","0.939","0.013","0.844","0.142"
"2017-08-10","0.923","0.062","0.787","0.151"
"2017-08-11","0.939","0.082","0.73","0.188"
"2017-08-12","0.968","0.079","0.721","0.2"
"2017-08-13","0.956","0.058","0.763","0.179"
"2017-08-14","0.225","0.106","0.758","0.136"
"2017-08-15","0.975","0.055","0.747","0.198"
"2017-08-16","0.599","0.149","0.662","0.188"
"2017-08-17","0.954","0.028","0.84","0.132"
"2017-08-18","0.872","0","0.867","0.133"
"2017-08-19","0.965","0.063","0.766","0.171"
"2017-08-20","0.906","0.035","0.865","0.1"
"2017-08-21","0.904","0.038","0.84","0.122"
"2017-08-22","0.765","0.06","0.821","0.119"
"2017-08-23","0.872","0.059","0.772","0.169"
"2017-08-24","0.901","0.015","0.878","0.107"
"2017-08-25","0.511","0.056","0.869","0.076"
"2017-08-26","0.66","0.11","0.751","0.139"
"2017-08-27","0.832","0.038","0.836","0.126"
"2017-08-28","-0.726","0.118","0.792","0.09"
"2017-08-29","0.856","0.034","0.833","0.133"
"2017-08-30","0.918","0.035","0.824","0.141"
"2017-08-31","0.494","0.049","0.86","0.091"
"2017-09-01","0.943","0.036","0.806","0.159"
"2017-09-02","0.84","0.041","0.85","0.109"
"2017-09-03","0.991","0.014","0.737","0.249"
"2017-09-04","0.966","0.033","0.817","0.15"
"2017-09-05","0.527","0.086","0.79","0.125"
"2017-09-06","-0.586","0.159","0.715","0.125"
"2017-09-07","0.959","0.065","0.763","0.172"
"2017-09-08","0.946","0.081","0.717","0.202"
"2017-09-09","0.818","0.087","0.728","0.185"
"2017-09-10","0.727","0.048","0.788","0.163"
"2017-09-11","0.914","0.089","0.715","0.197"
"2017-09-12","0.944","0.064","0.739","0.198"
"2017-09-13","0.902","0.017","0.883","0.1"
"2017-09-14","0.951","0.05","0.716","0.234"
"2017-09-15","0.935","0.036","0.775","0.189"
"2017-09-16","0.964","0.023","0.786","0.191"
"2017-09-17","0.883","0","0.873","0.127"
"2017-09-18","0.949","0.021","0.822","0.157"
"2017-09-19","0.912","0.065","0.77","0.164"
"2017-09-20","0.993","0.007","0.728","0.266"
"2017-09-21","0.919","0.023","0.832","0.145"
"2017-09-22","0.987","0.037","0.727","0.235"
"2017-09-23","0.827","0.055","0.83","0.115"
"2017-09-24","0.953","0.034","0.836","0.13"
"2017-09-25","-0.81","0.098","0.831","0.072"
"2017-09-26","-0.141","0.146","0.721","0.133"
"2017-09-27","0.979","0.021","0.807","0.172"
"2017-09-28","0.875","0.021","0.885","0.094"
"2017-09-29","0.97","0.034","0.806","0.16"
"2017-09-30","0.969","0.037","0.807","0.156"
"2017-10-01","0.936","0.01","0.878","0.112"
"2017-10-02","0.98","0.042","0.732","0.226"
"2017-10-03","0.645","0.042","0.868","0.09"
"2017-10-04","-0.911","0.136","0.793","0.07"
"2017-10-05","0.908","0.027","0.851","0.122"
"2017-10-06","0.975","0.065","0.709","0.226"
"2017-10-07","0.962","0","0.85","0.15"
"2017-10-08","0.889","0.091","0.772","0.137"
"2017-10-09","0.898","0.034","0.856","0.11"
"2017-10-10","0.664","0.085","0.777","0.138"
"2017-10-11","0.957","0","0.807","0.193"
"2017-10-12","0.807","0.069","0.803","0.129"
"2017-10-13","0.824","0.063","0.779","0.158"
"2017-10-14","0.97","0","0.834","0.166"
"2017-10-15","0.827","0.056","0.843","0.101"
"2017-10-16","0.992","0.017","0.747","0.236"
"2017-10-17","0.961","0","0.851","0.149"
"2017-10-18","0.887","0.027","0.89","0.083"
"2017-10-19","0.799","0.059","0.818","0.123"
"2017-10-20","0.926","0.043","0.818","0.138"
"2017-10-21","0.99","0","0.798","0.202"
"2017-10-22","0.947","0.014","0.835","0.151"
"2017-10-23","0.586","0.073","0.816","0.11"
"2017-10-24","0.542","0.016","0.919","0.064"
"2017-10-25","0.972","0.024","0.786","0.19"
"2017-10-26","0.968","0.076","0.73","0.194"
"2017-10-27","0.929","0.093","0.748","0.159"
"2017-10-28","0.925","0.03","0.809","0.16"
"2017-10-29","0.333","0.045","0.884","0.071"
"2017-10-30","-0.599","0.094","0.832","0.074"
"2017-10-31","0.973","0.055","0.772","0.173"
"2017-11-01","0.856","0.028","0.898","0.074"
"2017-11-02","0.962","0.026","0.83","0.144"
