"Date","Comp","Negative","Neutral","Positive"
"2017-08-11","0.966","0","0.759","0.241"
"2017-08-12","0.947","0.029","0.684","0.286"
"2017-08-13","0.989","0","0.579","0.421"
"2017-08-14","0.71","0.124","0.646","0.23"
"2017-08-15","0.813","0","0.848","0.152"
"2017-08-16","0.989","0.025","0.526","0.448"
"2017-08-17","0.978","0.014","0.672","0.314"
"2017-08-18","0.899","0.039","0.72","0.241"
"2017-08-19","0.949","0.053","0.733","0.214"
"2017-08-20","0.939","0.051","0.613","0.336"
"2017-08-21","0.968","0.044","0.57","0.387"
"2017-08-22","0.361","0.028","0.922","0.051"
"2017-08-23","0.831","0","0.882","0.118"
"2017-08-24","0.938","0","0.679","0.321"
"2017-08-25","0.44","0","0.953","0.047"
"2017-08-26","0.878","0.086","0.654","0.26"
"2017-08-27","0.981","0","0.512","0.488"
"2017-08-28","0.94","0.017","0.835","0.148"
"2017-08-29","0.718","0","0.885","0.115"
"2017-08-30","-0.103","0.063","0.866","0.071"
"2017-08-31","0.974","0","0.722","0.278"
"2017-09-01","0.976","0","0.676","0.324"
"2017-09-02","0.718","0","0.945","0.055"
"2017-09-03","0.929","0.024","0.795","0.182"
"2017-09-04","0.772","0.017","0.889","0.094"
"2017-09-05","0.542","0.141","0.685","0.175"
"2017-09-06","-0.573","0.102","0.819","0.079"
"2017-09-07","0.937","0.089","0.644","0.266"
"2017-09-08","0.572","0.127","0.677","0.195"
"2017-09-09","0.979","0.017","0.699","0.284"
"2017-09-10","0.967","0.055","0.588","0.357"
"2017-09-11","0.37","0.101","0.751","0.148"
"2017-09-12","0.566","0.075","0.767","0.158"
"2017-09-13","0.98","0","0.621","0.379"
"2017-09-14","0.917","0","0.759","0.241"
"2017-09-15","0.943","0.024","0.646","0.33"
"2017-09-16","0.778","0","0.846","0.154"
"2017-09-17","0.378","0.043","0.891","0.066"
"2017-09-18","0.681","0","0.891","0.109"
"2017-09-19","0","0","1","0"
"2017-09-20","0.964","0","0.689","0.311"
"2017-09-21","0.637","0.019","0.892","0.089"
"2017-09-22","0.66","0","0.921","0.079"
"2017-09-23","0.98","0.077","0.569","0.354"
"2017-09-24","0.791","0","0.871","0.129"
"2017-09-25","-0.178","0.064","0.887","0.049"
"2017-09-26","0.975","0.044","0.551","0.405"
"2017-09-27","0.494","0.077","0.822","0.101"
"2017-09-28","-0.06","0.099","0.815","0.086"
"2017-09-29","0.915","0.064","0.752","0.184"
"2017-09-30","0.972","0.064","0.653","0.283"
"2017-10-01","0.361","0","0.948","0.052"
