"Date","Comp","Negative","Neutral","Positive","Adj.Close"
"2017-11-15",0.869,0,0.843,0.157,40.1332511901855
"2017-11-16",0.925,0.039,0.856,0.105,40.6127281188965
"2017-11-17",0.681,0,0.924,0.076,40.3872337341309
"2017-11-20",0.904,0.034,0.767,0.199,40.3468742370605
"2017-11-21",0.818,0.026,0.82,0.154,41.0969352722168
"2017-11-22",0.945,0,0.796,0.204,41.5289459228516
"2017-11-24",0.962,0.037,0.846,0.117,41.5313186645508
"2017-11-27",0.103,0.093,0.8,0.107,41.3224411010742
"2017-11-28",0.807,0.044,0.844,0.112,41.0803337097168
"2017-11-29",0.765,0.03,0.891,0.079,40.2281951904297
"2017-11-30",-0.586,0.109,0.839,0.051,40.7907562255859
"2017-12-01",0.977,0,0.69,0.31,40.6008605957031
"2017-12-04",0.936,0.074,0.707,0.218,40.3041610717773
"2017-12-05",0.974,0.098,0.495,0.407,40.2661743164062
"2017-12-06",0.622,0.069,0.838,0.093,40.1166305541992
"2017-12-07",0.557,0.067,0.814,0.119,40.1902275085449
"2017-12-08",0.103,0.071,0.853,0.076,40.202091217041
"2017-12-11",0.718,0.141,0.637,0.221,40.9853820800781
"2017-12-12",0.84,0.039,0.814,0.147,40.7551460266113
"2017-12-13",0.946,0.035,0.678,0.288,40.890438079834
"2017-12-14",0.912,0,0.77,0.23,40.8785781860352
"2017-12-15",0.926,0.017,0.863,0.12,41.2939605712891
"2017-12-18",-0.844,0.109,0.874,0.017,41.8754920959473
"2017-12-19",0.962,0,0.747,0.253,41.4292449951172
"2017-12-20",0.649,0.095,0.715,0.19,41.3841590881348
"2017-12-21",0.974,0.011,0.776,0.214,41.5408096313477
"2017-12-22",0.961,0.013,0.817,0.171,41.5408096313477
"2017-12-26",0.153,0.124,0.748,0.128,40.486930847168
"2017-12-27",0.973,0.032,0.483,0.486,40.4940414428711
"2017-12-28",0.912,0.022,0.806,0.173,40.6079788208008
"2017-12-29",0.981,0.092,0.637,0.27,40.1688575744629
"2018-01-02",0.968,0,0.765,0.235,40.8880615234375
"2018-01-03",0.026,0.07,0.858,0.072,40.8809547424316
"2018-01-04",0.942,0.052,0.745,0.203,41.0708274841309
"2018-01-05",0.966,0.108,0.523,0.369,41.5384483337402
