"Date","Comp","Negative","Neutral","Positive","Adj.Close"
"2017-12-18",0.959,0.028,0.729,0.243,81.14208984375
"2017-12-19",0.961,0.06,0.642,0.298,80.6254577636719
"2017-12-20",0.906,0.041,0.8,0.158,80.3342514038086
"2017-12-21",0.71,0.028,0.882,0.09,80.3154754638672
"2017-12-22",-0.128,0.027,0.942,0.031,80.3248596191406
"2017-12-26",0.902,0,0.85,0.15,80.2215270996094
"2017-12-27",0.947,0,0.881,0.119,80.5126953125
"2017-12-28",0.956,0.019,0.81,0.171,80.5221252441406
"2017-12-29",0.927,0.013,0.858,0.129,80.3530578613281
"2018-01-02",0.743,0.034,0.846,0.12,80.738166809082
"2018-01-03",0.881,0,0.804,0.196,81.1139221191406
"2018-01-04",0.926,0.036,0.787,0.177,81.8278274536133
"2018-01-05",0.318,0.051,0.878,0.071,82.8423461914062
"2018-01-08",-0.478,0.105,0.837,0.057,82.926887512207
"2018-01-09",0.852,0.115,0.661,0.224,82.8705291748047
"2018-01-10",0.832,0.048,0.734,0.217,82.4947814941406
"2018-01-11",0.931,0.048,0.831,0.122,82.739013671875
"2018-01-12",-0.44,0.064,0.907,0.029,84.1668319702148
"2018-01-16",0.572,0.031,0.899,0.07,82.9926376342773
"2018-01-17",0.939,0,0.869,0.131,84.6740875244141
"2018-01-18",0.66,0.079,0.781,0.14,84.6365280151367
"2018-01-19",0.952,0.025,0.768,0.207,84.5425872802734
"2018-01-22",0.848,0,0.842,0.158,86.0549621582031
"2018-01-23",0.67,0,0.925,0.075,86.3273620605469
"2018-01-24",0.869,0.042,0.78,0.178,86.2522201538086
"2018-01-25",0.95,0.023,0.844,0.132,86.7312927246094
"2018-01-26",0.71,0.089,0.761,0.149,88.3563842773438
"2018-01-29",0.896,0.041,0.868,0.091,88.2248916625977
"2018-01-30",0.83,0,0.876,0.124,87.1164627075195
"2018-01-31",0.382,0.08,0.815,0.105,89.2487564086914
"2018-02-01",-0.224,0.122,0.777,0.1,88.5442504882812
"2018-02-02",0.807,0.014,0.916,0.07,86.2146453857422
"2018-02-05",0.969,0.03,0.787,0.184,82.6638412475586
"2018-02-06",-0.691,0.059,0.941,0,85.7919235229492
"2018-02-07",0.778,0.052,0.825,0.124,84.1762313842773
"2018-02-08",0.226,0.033,0.915,0.052,79.8551712036133
"2018-02-09",-0.881,0.164,0.836,0,82.8329391479492
"2018-02-12",0.718,0,0.915,0.085,83.7253265380859
"2018-02-13",0,0.04,0.919,0.04,84.3828887939453
"2018-02-14",0.976,0,0.756,0.244,85.7041702270508
"2018-02-15",0.919,0.034,0.81,0.156,87.4501571655273
"2018-02-16",0.361,0.03,0.912,0.058,86.8272705078125
"2018-02-20",0.477,0,0.956,0.044,87.5067672729492
"2018-02-21",0.859,0.024,0.846,0.13,86.3459243774414
"2018-02-22",-0.361,0.038,0.962,0,86.5724411010742
"2018-02-23",0.922,0,0.841,0.159,88.7714385986328
"2018-02-26",0.859,0,0.899,0.101,90.0549774169922
"2018-02-27",0.969,0,0.636,0.364,88.903564453125
"2018-02-28",0.818,0.062,0.79,0.149,88.4977416992188
"2018-03-01",0.708,0.047,0.862,0.09,87.6294937133789
"2018-03-02",0.848,0.034,0.814,0.151,87.8182373046875
"2018-03-05",0.637,0,0.951,0.049,88.3750686645508
"2018-03-06",0.052,0.082,0.842,0.075,88.0730514526367
"2018-03-07",0.891,0.027,0.784,0.189,88.5826873779297
"2018-03-08",0.318,0.035,0.896,0.068,89.1206512451172
"2018-03-09",0.836,0.022,0.865,0.113,91.1119995117188
"2018-03-12",0.103,0.06,0.87,0.07,91.3290710449219
"2018-03-13",0.178,0.101,0.791,0.108,89.1017684936523
"2018-03-14",0.941,0,0.787,0.213,88.5732498168945
"2018-03-15",0.758,0,0.92,0.08,88.8847045898438
"2018-03-16",0.751,0.063,0.81,0.127,89.2810745239258
"2018-03-19",0.421,0.021,0.931,0.048,87.6672286987305
"2018-03-20",0.802,0.046,0.827,0.127,87.8937225341797
"2018-03-21",-0.625,0.059,0.941,0,87.2802734375
"2018-03-22",0.727,0.062,0.847,0.091,84.7415466308594
"2018-03-23",0.989,0.007,0.784,0.21,82.2782745361328
"2018-03-26",0,0,1,0,88.5071868896484
"2018-03-27",0.904,0.084,0.74,0.176,84.4395141601562
"2018-03-28",0.92,0.049,0.804,0.147,84.3640213012695
"2018-03-29",0.402,0.034,0.902,0.064,86.138313293457
"2018-04-02",0.382,0.054,0.853,0.093,83.5429382324219
"2018-04-03",0.949,0,0.866,0.134,84.6660232543945
"2018-04-04",0.511,0.019,0.932,0.049,87.1387023925781
"2018-04-05",0.889,0.007,0.94,0.054,87.185905456543
"2018-04-06",0.859,0,0.879,0.121,85.1568069458008
"2018-04-09",0.954,0.019,0.857,0.124,85.6664199829102
"2018-04-10",0.983,0.045,0.724,0.231,87.6577987670898
"2018-04-11",0.988,0,0.809,0.191,86.6951370239258
"2018-04-12",0.931,0.025,0.891,0.085,88.3184280395508
"2018-04-13",0.878,0.057,0.848,0.095,87.8465576171875
"2018-04-16",0.71,0.024,0.86,0.116,88.8752593994141
"2018-04-17",0.795,0,0.882,0.118,90.6684341430664
"2018-04-18",-0.382,0.05,0.95,0,91.0176391601562
"2018-04-19",0.975,0,0.841,0.159,90.7061920166016
"2018-04-20",0.612,0.036,0.887,0.077,89.658576965332
"2018-04-23",0.886,0,0.919,0.081,89.9889144897461
"2018-04-24",0.832,0,0.844,0.156,87.8842926025391
"2018-04-25",0.612,0.032,0.911,0.057,87.1198501586914
"2018-04-26",0.976,0.072,0.714,0.214,88.9601974487305
"2018-04-27",0.878,0.027,0.887,0.087,90.4324951171875
"2018-04-30",-0.889,0.168,0.806,0.026,88.2618026733398
"2018-05-01",0.927,0.011,0.916,0.073,89.658576965332
"2018-05-02",0.691,0.081,0.809,0.11,88.2523803710938
"2018-05-03",0.778,0.008,0.949,0.043,88.780876159668
"2018-05-04",0.962,0.03,0.681,0.289,89.8096008300781
"2018-05-07",0.848,0.086,0.748,0.166,90.8099899291992
"2018-05-08",0.67,0.042,0.89,0.067,90.4230575561523
"2018-05-09",0.44,0.052,0.856,0.092,91.4895095825195
"2018-05-10",-0.881,0.136,0.825,0.04,92.4049758911133
"2018-05-11",0.735,0.056,0.843,0.101,92.2067794799805
"2018-05-14",0.572,0.092,0.788,0.12,92.5182189941406
"2018-05-15",0.557,0.022,0.908,0.069,91.8481521606445
"2018-05-16",0.969,0.04,0.746,0.214,92.0851211547852
"2018-05-17",0.511,0.027,0.916,0.057,91.1656799316406
"2018-05-18",0.743,0.094,0.755,0.151,91.3362884521484
"2018-05-21",0.963,0.03,0.794,0.176,92.5116653442383
"2018-05-22",0.695,0.033,0.88,0.087,92.4168701171875
"2018-05-23",0.226,0.068,0.844,0.087,93.5163879394531
"2018-05-24",-0.718,0.081,0.884,0.035,93.1846313476562
"2018-05-25",0.637,0.073,0.781,0.146,93.2320404052734
"2018-05-29",0.965,0.017,0.802,0.181,92.9002838134766
"2018-05-30",-0.273,0.035,0.941,0.025,93.7912673950195
"2018-05-31",-0.318,0.031,0.969,0,93.6869888305664
"2018-06-01",0.935,0.018,0.786,0.196,95.5353698730469
"2018-06-04",0.829,0.059,0.805,0.136,96.3694915771484
"2018-06-05",0.952,0,0.835,0.165,96.8623504638672
"2018-06-06",0.599,0,0.924,0.076,97.1467132568359
"2018-06-07",0.765,0.011,0.928,0.061,95.6206588745117
"2018-06-08",0.402,0.039,0.901,0.06,96.3315353393555
"2018-06-11",0.912,0.023,0.859,0.118,95.7817993164062
"2018-06-12",0.908,0.021,0.824,0.154,96.0282363891602
"2018-06-13",0.751,0.021,0.914,0.065,95.5922088623047
"2018-06-14",0.958,0.047,0.742,0.211,96.1325149536133
"2018-06-15",0.973,0.027,0.779,0.193,94.9097442626953
"2018-06-18",0.727,0.037,0.862,0.1,95.6016998291016
"2018-06-19",0.988,0.073,0.674,0.252,95.6016998291016
"2018-06-20",0.382,0.084,0.829,0.088,96.5590438842773
"2018-06-21",0.758,0,0.951,0.049,95.8670883178711
"2018-06-22",0.542,0,0.929,0.071,95.1751708984375
"2018-06-25",0.866,0.037,0.855,0.108,93.2604827880859
"2018-06-26",0.459,0.046,0.887,0.067,93.9145050048828
"2018-06-27",0.923,0.031,0.882,0.086,92.4547958374023
"2018-06-28",0.934,0,0.859,0.141,93.4879608154297
"2018-06-29",0.925,0,0.911,0.089,93.4690017700195
"2018-07-02",0.809,0.036,0.841,0.123,94.7959899902344
"2018-07-03",-0.599,0.097,0.871,0.032,93.8860855102539
"2018-07-05",0.915,0,0.835,0.165,94.5590362548828
"2018-07-06",0.791,0.064,0.801,0.136,95.8860626220703
"2018-07-09",0.956,0.041,0.824,0.135,96.5400772094727
"2018-07-10",0.881,0.028,0.873,0.099,96.796012878418
"2018-07-11",0.459,0.058,0.808,0.133,96.6633224487305
"2018-07-12",0.526,0.059,0.837,0.104,98.7580947875977
"2018-07-13",0.785,0.088,0.774,0.138,99.9334411621094
"2018-07-16",0.957,0.018,0.81,0.172,99.4405517578125
"2018-07-17",0.934,0,0.831,0.169,100.426330566406
"2018-07-18",0.586,0.064,0.838,0.098,99.6396102905273
"2018-07-19",0.727,0,0.843,0.157,98.9571380615234
"2018-07-20",0.612,0,0.942,0.058,100.729637145996
"2018-07-23",0.917,0.041,0.841,0.118,102.341033935547
"2018-07-24",0.978,0,0.796,0.204,102.047172546387
"2018-07-25",0.527,0,0.945,0.055,105.051918029785
"2018-07-26",0.948,0.098,0.709,0.193,103.904998779297
"2018-07-27",0.964,0.01,0.858,0.132,102.066139221191
"2018-07-30",0.571,0.024,0.906,0.07,99.8765716552734
"2018-07-31",0.813,0,0.925,0.075,100.54955291748
"2018-08-01",0.964,0.039,0.776,0.184,100.739135742188
"2018-08-02",0.982,0.064,0.736,0.2,101.961875915527
"2018-08-03",0.906,0.013,0.855,0.132,102.407363891602
"2018-08-06",0.8,0.065,0.786,0.148,102.49267578125
"2018-08-07",0.836,0,0.879,0.121,103.203575134277
"2018-08-08",0.735,0.091,0.745,0.164,103.781768798828
"2018-08-09",0.937,0.069,0.686,0.245,103.95238494873
"2018-08-10",0.178,0,0.972,0.028,103.317329406738
"2018-08-13",0.613,0.04,0.846,0.114,102.568519592285
"2018-08-14",0.964,0.012,0.831,0.156,103.848129272461
"2018-08-15",0.66,0.056,0.808,0.136,102.439895629883
"2018-08-16",-0.226,0.095,0.838,0.067,102.420860290527
"2018-08-17",0.178,0,0.971,0.029,102.363784790039
"2018-08-20",0.599,0.025,0.925,0.05,101.688194274902
"2018-08-21",0.401,0.025,0.925,0.05,100.841331481934
"2018-08-22",0.599,0.042,0.877,0.081,101.86897277832
"2018-08-23",0.71,0,0.922,0.078,102.344749450684
"2018-08-24",0.66,0.037,0.83,0.133,103.143997192383
"2018-08-27",0.681,0.028,0.887,0.085,104.28581237793
"2018-08-28",0.951,0,0.777,0.223,104.913818359375
"2018-08-29",0.477,0,0.931,0.069,106.588470458984
"2018-08-30",0.103,0.097,0.825,0.078,106.521873474121
"2018-08-31",0.228,0.093,0.81,0.098,106.883460998535
"2018-09-04",0.796,0,0.921,0.079,106.293518066406
"2018-09-05",0.916,0.024,0.84,0.136,103.229644775391
"2018-09-06",0.649,0.052,0.865,0.084,103.467514038086
"2018-09-07",0.815,0.041,0.875,0.084,102.963226318359
"2018-09-10",0.862,0,0.868,0.132,104.07649230957
"2018-09-11",0.929,0.012,0.854,0.135,105.846298217773
"2018-09-12",0.862,0,0.885,0.115,106.293518066406
"2018-09-13",0.836,0,0.878,0.122,107.435340881348
"2018-09-14",0.153,0.053,0.873,0.075,107.873023986816
"2018-09-17",0.791,0.034,0.854,0.112,106.702674865723
"2018-09-18",0.827,0,0.832,0.168,107.720779418945
"2018-09-19",0.827,0.015,0.893,0.092,106.284004211426
"2018-09-20",0.765,0.06,0.808,0.132,108.063354492188
"2018-09-21",-0.317,0.084,0.846,0.071,108.719886779785
"2018-09-24",-0.66,0.142,0.755,0.104,109.109985351562
"2018-09-25",0.915,0.03,0.784,0.185,108.900657653809
"2018-09-26",0.973,0,0.704,0.296,108.453475952148
"2018-09-27",0.542,0.034,0.898,0.068,108.862609863281
"2018-09-28",0.912,0.014,0.928,0.058,108.82453918457
"2018-10-01",0.751,0,0.875,0.125,110.004417419434
"2018-10-02",0.66,0.021,0.903,0.076,109.566719055176
"2018-10-03",0.878,0,0.924,0.076,109.585746765137
"2018-10-04",0.893,0.05,0.835,0.115,107.321159362793
"2018-10-05",0.935,0,0.833,0.167,106.693145751953
"2018-10-08",0.836,0,0.881,0.119,105.475212097168
"2018-10-09",0.822,0.058,0.782,0.16,106.816856384277
"2018-10-10",0.813,0,0.865,0.135,101.012626647949
"2018-10-11",0.807,0,0.925,0.075,100.774749755859
"2018-10-12",0.103,0.029,0.922,0.048,104.257270812988
"2018-10-15",0.827,0.031,0.851,0.118,102.382797241211
"2018-10-16",0.494,0,0.932,0.068,105.617950439453
"2018-10-17",0.97,0.031,0.836,0.133,105.341995239258
"2018-10-18",-0.153,0.051,0.905,0.044,103.239151000977
"2018-10-19",0,0.064,0.872,0.064,103.391403198242
"2018-10-22",0.915,0,0.883,0.117,104.314361572266
"2018-10-23",0.818,0.044,0.853,0.102,102.858543395996
"2018-10-24",0.649,0,0.931,0.069,97.3588104248047
"2018-10-25",0.904,0.016,0.874,0.11,103.048858642578
"2018-10-26",0.791,0.044,0.849,0.106,101.773826599121
"2018-10-29",0.953,0,0.912,0.088,98.8146133422852
"2018-10-30",0.44,0.08,0.814,0.106,98.7004470825195
"2018-10-31",-0.026,0.038,0.926,0.036,101.631080627441
"2018-11-01",0.832,0.031,0.872,0.097,100.784248352051
"2018-11-02",0.898,0.023,0.856,0.121,101.012626647949
"2018-11-05",0.735,0.023,0.906,0.071,102.297172546387
"2018-11-06",0.856,0.038,0.824,0.139,102.49698638916
"2018-11-07",0.772,0,0.913,0.087,106.531394958496
"2018-11-08",0.959,0,0.786,0.214,106.331581115723
"2018-11-09",0.964,0,0.784,0.216,104.257270812988
"2018-11-12",0.67,0,0.896,0.104,101.688194274902
"2018-11-13",-0.402,0.025,0.975,0,101.75479888916
"2018-11-14",0.659,0,0.97,0.03,100.311798095703
"2018-11-15",-0.296,0.023,0.964,0.013,102.51929473877
"2018-11-16",0.751,0.032,0.877,0.091,103.484481811523
"2018-11-19",0.758,0.043,0.838,0.12,99.9773330688477
"2018-11-20",0.906,0,0.893,0.107,97.1964874267578
"2018-11-21",0.572,0.043,0.891,0.066,98.5343475341797
"2018-11-23",0.542,0,0.95,0.05,98.4961242675781
"2018-11-26",0.906,0.046,0.779,0.175,101.745262145996
"2018-11-27",0.852,0.025,0.883,0.092,102.385513305664
"2018-11-28",0.938,0,0.744,0.256,106.188903808594
"2018-11-29",0.637,0.055,0.861,0.084,105.300186157227
"2018-11-30",0.844,0.036,0.888,0.075,105.969116210938
"2018-12-03",0.361,0.028,0.908,0.064,107.115852355957
"2018-12-04",0.969,0,0.778,0.222,103.70426940918
"2018-12-06",0.052,0.104,0.78,0.116,104.344535827637
"2018-12-07",0.202,0.052,0.878,0.07,100.168472290039
"2018-12-10",0.94,0.027,0.829,0.144,102.815536499023
"2018-12-11",0.778,0.062,0.811,0.126,103.77116394043
"2018-12-12",0.273,0.053,0.858,0.089,104.23942565918
"2018-12-13",0.691,0.016,0.915,0.069,104.59300994873
"2018-12-14",-0.153,0.089,0.843,0.068,101.324760437012
"2018-12-17",0.878,0.029,0.852,0.119,98.3241195678711
"2018-12-18",0.967,0.017,0.859,0.124,99.3561859130859
"2018-12-19",0.96,0.03,0.717,0.253,99.0886077880859
"2018-12-20",0.772,0.065,0.789,0.146,97.0053634643555
"2018-12-21",0.912,0.034,0.815,0.152,93.8709030151367
"2018-12-24",0.751,0.026,0.853,0.121,89.9528579711914
"2018-12-26",0.572,0.037,0.89,0.073,96.0975112915039
"2018-12-27",0.822,0.044,0.833,0.123,96.6900177001953
"2018-12-28",0.382,0.045,0.861,0.094,95.9350433349609
"2018-12-31",0.961,0.049,0.808,0.143,97.0626831054688
"2019-01-02",-0.844,0.079,0.902,0.019,96.6326522827148
"2019-01-03",-0.273,0.062,0.893,0.044,93.0777359008789
"2019-01-04",0.67,0,0.908,0.092,97.4067153930664
"2019-01-07",0.91,0.03,0.874,0.096,97.5309448242188
"2019-01-08",-0.937,0.198,0.714,0.088,98.2381134033203
"2019-01-09",0.96,0.009,0.889,0.102,99.6428756713867
"2019-01-10",0.44,0.094,0.75,0.156,99.0026016235352
"2019-01-11",-0.318,0.052,0.899,0.05,98.2381134033203
"2019-01-14",0.972,0.06,0.735,0.206,97.5213928222656
