"Date","Comp","Negative","Neutral","Positive","Adj.Close"
"2017-06-05",0.511,0.093,0.745,0.161,23.1546669006348
"2017-06-06",0.586,0,0.944,0.056,23.5233325958252
"2017-06-07",0.818,0,0.876,0.124,23.9766674041748
"2017-06-08",0.71,0.031,0.853,0.115,24.6666679382324
"2017-06-09",0.872,0.063,0.789,0.148,23.8213329315186
"2017-06-12",0.577,0.037,0.859,0.104,23.9340000152588
"2017-06-13",0.698,0,0.879,0.121,25.0633335113525
"2017-06-14",0.785,0,0.854,0.146,25.3773326873779
"2017-06-15",0.765,0,0.879,0.121,25.0226669311523
"2017-06-16",0.963,0.028,0.701,0.271,24.7600002288818
"2017-06-19",0.34,0.063,0.847,0.09,24.6533336639404
"2017-06-20",0.382,0,0.935,0.065,24.8159999847412
"2017-06-21",0.922,0,0.792,0.208,25.0933322906494
"2017-06-22",0.25,0.047,0.779,0.174,25.5073337554932
"2017-06-23",-0.026,0.057,0.857,0.086,25.5633335113525
"2017-06-26",0.893,0.019,0.862,0.118,25.1660003662109
"2017-06-27",0.725,0,0.909,0.091,24.1580009460449
"2017-06-28",0.71,0.025,0.916,0.06,24.7493324279785
"2017-06-29",0.965,0.018,0.841,0.141,24.0499992370605
"2017-06-30",-0.026,0.056,0.888,0.055,24.1073322296143
"2017-07-03",0.586,0.025,0.91,0.065,23.507999420166
"2017-07-05",-0.935,0.269,0.697,0.034,21.8059997558594
"2017-07-06",0.952,0.028,0.74,0.232,20.5886669158936
"2017-07-07",0.836,0,0.899,0.101,20.8813323974609
"2017-07-10",0.459,0.057,0.846,0.096,21.0699996948242
"2017-07-11",0.926,0.035,0.754,0.211,21.8146667480469
"2017-07-12",0.226,0,0.961,0.039,21.9680004119873
"2017-07-13",0,0,1,0,21.5606670379639
"2017-07-14",0.906,0.042,0.82,0.138,21.8519992828369
"2017-07-17",0.739,0.042,0.816,0.142,21.304666519165
"2017-07-18",0.612,0.096,0.726,0.178,21.8826675415039
"2017-07-19",0.178,0.069,0.832,0.099,21.6840000152588
"2017-07-20",0.747,0.06,0.831,0.109,21.9946670532227
"2017-07-21",0.794,0.09,0.737,0.173,21.8933334350586
"2017-07-24",0.941,0.019,0.809,0.172,22.8346672058105
"2017-07-25",-0.25,0.033,0.967,0,22.6399993896484
"2017-07-26",-0.822,0.152,0.848,0,22.9233322143555
"2017-07-27",0.718,0.045,0.808,0.148,22.2973327636719
"2017-07-28",0.934,0,0.802,0.198,22.3379993438721
"2017-07-31",0.891,0.069,0.714,0.216,21.5646667480469
"2017-08-01",0.852,0,0.856,0.144,21.304666519165
