"Date","Comp","Negative","Neutral","Positive"
"2017-08-09","0.848","0.083","0.693","0.224"
"2017-08-10","0.077","0.074","0.849","0.077"
"2017-08-11","0.977","0.016","0.659","0.324"
"2017-08-12","0.382","0.031","0.888","0.081"
"2017-08-13","-0.572","0.107","0.842","0.051"
"2017-08-14","0.914","0.019","0.839","0.142"
"2017-08-15","0.459","0.077","0.833","0.089"
"2017-08-16","0.421","0.025","0.916","0.059"
"2017-08-17","-0.917","0.242","0.726","0.032"
"2017-08-18","0.612","0","0.931","0.069"
"2017-08-19","0","0","1","0"
"2017-08-20","0.128","0.134","0.723","0.143"
"2017-08-21","0.916","0.033","0.795","0.171"
"2017-08-22","0.681","0.058","0.831","0.112"
"2017-08-23","-0.25","0.056","0.888","0.056"
"2017-08-24","0.527","0.07","0.815","0.115"
"2017-08-25","0.7","0.045","0.817","0.138"
"2017-08-26","0.896","0.046","0.813","0.14"
"2017-08-27","0.919","0.044","0.812","0.143"
"2017-08-28","0.511","0.061","0.848","0.091"
"2017-08-29","0.926","0","0.814","0.186"
"2017-08-30","0.827","0.122","0.68","0.197"
"2017-08-31","0.527","0","0.925","0.075"
"2017-09-01","0.836","0.082","0.722","0.195"
"2017-09-02","0.91","0.071","0.766","0.164"
"2017-09-03","0.718","0.059","0.784","0.157"
"2017-09-04","0.982","0.032","0.745","0.223"
"2017-09-05","0.169","0","0.958","0.042"
"2017-09-06","0.791","0.041","0.749","0.21"
"2017-09-07","0.844","0","0.882","0.118"
"2017-09-08","0.9","0.015","0.867","0.117"
"2017-09-09","0.813","0","0.851","0.149"
"2017-09-10","0.382","0.033","0.877","0.09"
"2017-09-11","0.79","0.046","0.771","0.183"
"2017-09-12","0.751","0.035","0.819","0.146"
"2017-09-13","0.676","0","0.902","0.098"
"2017-09-14","0.802","0.061","0.77","0.168"
"2017-09-15","0.052","0.067","0.843","0.09"
"2017-09-16","0.9","0.02","0.864","0.116"
"2017-09-17","0.871","0.046","0.764","0.19"
"2017-09-18","0.691","0.027","0.878","0.095"
"2017-09-19","0.948","0.034","0.781","0.185"
"2017-09-20","0.66","0.073","0.75","0.177"
"2017-09-21","0.226","0.064","0.849","0.087"
"2017-09-22","0.825","0.129","0.677","0.194"
"2017-09-23","0.964","0","0.75","0.25"
"2017-09-24","0.932","0.045","0.761","0.194"
"2017-09-25","0.949","0","0.719","0.281"
"2017-09-26","0.929","0.029","0.715","0.257"
"2017-09-27","-0.25","0.085","0.83","0.085"
"2017-09-28","0.813","0.027","0.819","0.154"
"2017-09-29","0.768","0.026","0.86","0.114"
"2017-09-30","0.785","0.036","0.815","0.149"
"2017-10-01","0.864","0","0.812","0.188"
"2017-10-02","-0.558","0.114","0.826","0.06"
"2017-10-03","0.903","0.114","0.625","0.261"
"2017-10-04","0.052","0.035","0.926","0.039"
"2017-10-05","0.836","0.12","0.69","0.19"
"2017-10-06","-0.421","0.051","0.927","0.022"
"2017-10-07","-0.796","0.188","0.651","0.16"
"2017-10-08","0.459","0.073","0.769","0.158"
"2017-10-09","0.851","0.072","0.784","0.144"
"2017-10-10","0.859","0.039","0.831","0.13"
"2017-10-11","0.735","0","0.894","0.106"
"2017-10-12","0.382","0.067","0.813","0.12"
"2017-10-13","-0.128","0.079","0.867","0.054"
"2017-10-14","0.976","0","0.743","0.257"
"2017-10-15","-0.718","0.2","0.685","0.115"
"2017-10-16","0.923","0","0.768","0.232"
"2017-10-17","0.862","0.101","0.702","0.197"
"2017-10-18","0.951","0","0.736","0.264"
"2017-10-19","-0.557","0.209","0.62","0.171"
"2017-10-20","0.727","0.105","0.723","0.172"
"2017-10-21","-0.421","0.083","0.872","0.045"
"2017-10-22","0.588","0.033","0.878","0.089"
"2017-10-23","-0.748","0.158","0.742","0.1"
"2017-10-24","0.955","0.049","0.727","0.223"
"2017-10-25","0.902","0.078","0.734","0.188"
"2017-10-26","0.791","0","0.907","0.093"
"2017-10-27","0.511","0","0.947","0.053"
"2017-10-28","0.82","0.023","0.859","0.118"
"2017-10-29","0.25","0.07","0.828","0.102"
"2017-10-30","0.743","0.031","0.837","0.132"
"2017-10-31","0.744","0.067","0.756","0.178"
"2017-11-01","0.427","0.157","0.651","0.193"
"2017-11-02","-0.057","0.089","0.833","0.078"
"2017-11-03","0.026","0.123","0.753","0.124"
"2017-11-04","0.957","0.018","0.726","0.256"
"2017-11-05","0.66","0","0.931","0.069"
"2017-11-06","-0.494","0.106","0.854","0.04"
"2017-11-07","0.807","0.023","0.843","0.134"
"2017-11-08","-0.821","0.153","0.847","0"
"2017-11-09","0.956","0","0.857","0.143"
"2017-11-10","0.34","0.039","0.88","0.081"
"2017-11-11","0.841","0.058","0.828","0.114"
"2017-11-12","0.681","0.056","0.832","0.112"
"2017-11-13","0.936","0.036","0.77","0.194"
"2017-11-14","-0.026","0.082","0.837","0.081"
"2017-11-15","-0.579","0.167","0.688","0.146"
"2017-11-16","0.942","0","0.816","0.184"
"2017-11-17","0.459","0.133","0.699","0.168"
"2017-11-18","0.664","0.116","0.704","0.18"
"2017-11-19","-0.178","0.092","0.836","0.072"
"2017-11-20","0.912","0.041","0.833","0.126"
"2017-11-21","0.785","0.053","0.839","0.109"
"2017-11-22","0.903","0","0.856","0.144"
"2017-11-23","0.927","0.024","0.812","0.163"
"2017-11-24","0.955","0.048","0.769","0.184"
"2017-11-25","0.949","0.039","0.774","0.187"
"2017-11-26","0.869","0.038","0.789","0.173"
"2017-11-27","0.772","0.072","0.775","0.153"
"2017-11-28","0","0","1","0"
"2017-11-29","-0.796","0.114","0.81","0.076"
"2017-11-30","-0.785","0.158","0.784","0.058"
"2017-12-01","0.897","0.069","0.77","0.161"
"2017-12-02","0.954","0.02","0.781","0.198"
"2017-12-03","0.934","0.049","0.723","0.228"
"2017-12-04","0.67","0.05","0.853","0.097"
"2017-12-05","-0.144","0.079","0.823","0.098"
"2017-12-06","0.827","0.042","0.829","0.129"
"2017-12-07","0.881","0","0.797","0.203"
"2017-12-08","0.36","0.115","0.745","0.14"
"2017-12-09","0.968","0.04","0.719","0.241"
"2017-12-10","0.952","0.054","0.663","0.283"
"2017-12-11","0.421","0","0.938","0.062"
"2017-12-12","0.281","0.059","0.863","0.078"
"2017-12-13","0.91","0.058","0.807","0.135"
"2017-12-14","0.883","0.044","0.778","0.177"
"2017-12-15","0.945","0.029","0.748","0.223"
"2017-12-16","-0.936","0.147","0.791","0.063"
"2017-12-17","0.685","0.026","0.882","0.092"
"2017-12-18","0.649","0.059","0.807","0.134"
"2017-12-19","0.778","0.038","0.839","0.124"
"2017-12-20","0.226","0","0.979","0.021"
"2017-12-21","0.34","0.019","0.931","0.051"
"2017-12-22","0.785","0.045","0.855","0.1"
"2017-12-23","0.44","0.048","0.883","0.07"
"2017-12-24","0.958","0.054","0.774","0.172"
"2017-12-25","0.949","0.073","0.708","0.218"
"2017-12-26","0.968","0.107","0.604","0.289"
"2017-12-27","0.955","0.032","0.789","0.178"
"2017-12-28","0.477","0.057","0.848","0.095"
"2017-12-29","0.939","0.02","0.815","0.166"
"2017-12-30","0.903","0.039","0.829","0.132"
"2017-12-31","0.945","0.049","0.713","0.238"
"2018-01-01","0.807","0","0.826","0.174"
"2018-01-02","0.964","0.009","0.84","0.151"
"2018-01-03","0.718","0.05","0.85","0.1"
"2018-01-04","-0.523","0.169","0.721","0.111"
"2018-01-05","0.96","0.029","0.793","0.178"
"2018-01-06","0.832","0.038","0.794","0.168"
"2018-01-07","0.917","0.014","0.872","0.114"
"2018-01-08","0.872","0.055","0.739","0.206"
"2018-01-09","-0.807","0.118","0.853","0.029"
"2018-01-10","0.951","0.038","0.796","0.166"
"2018-01-11","0.422","0.144","0.67","0.186"
"2018-01-12","0.822","0.02","0.847","0.134"
"2018-01-13","0.402","0.16","0.641","0.199"
"2018-01-14","0.78","0.058","0.817","0.125"
"2018-01-15","0.542","0.025","0.878","0.097"
"2018-01-16","0.967","0.017","0.772","0.211"
"2018-01-17","0.922","0","0.857","0.143"
"2018-01-18","0.975","0.018","0.744","0.238"
"2018-01-19","0.956","0.071","0.763","0.165"
"2018-01-20","0.202","0.078","0.833","0.089"
"2018-01-21","0.911","0.052","0.793","0.155"
"2018-01-22","0.958","0.016","0.815","0.169"
"2018-01-23","0.311","0.097","0.776","0.127"
"2018-01-24","0.87","0.066","0.723","0.211"
"2018-01-25","0.537","0.11","0.733","0.158"
"2018-01-26","0.966","0.034","0.776","0.19"
"2018-01-27","0.372","0.03","0.909","0.061"
"2018-01-28","0.869","0.027","0.871","0.102"
"2018-01-29","0.834","0.031","0.801","0.167"
"2018-01-30","0.917","0","0.836","0.164"
"2018-01-31","-0.077","0.061","0.884","0.055"
"2018-02-01","0.494","0.123","0.732","0.145"
"2018-02-02","0.889","0","0.791","0.209"
"2018-02-03","0.889","0","0.881","0.119"
"2018-02-04","0.919","0.028","0.815","0.157"
"2018-02-05","0.924","0.013","0.878","0.108"
"2018-02-06","0.807","0.05","0.816","0.134"
"2018-02-07","0.958","0.034","0.754","0.212"
"2018-02-08","-0.156","0.087","0.822","0.091"
"2018-02-09","0.958","0.028","0.785","0.187"
"2018-02-10","0.511","0.022","0.915","0.063"
"2018-02-11","0.952","0.063","0.761","0.176"
"2018-02-12","0.511","0.053","0.815","0.132"
"2018-02-13","0.929","0.045","0.787","0.169"
"2018-02-14","0.796","0","0.894","0.106"
"2018-02-15","0.283","0.094","0.789","0.117"
"2018-02-16","0.382","0","0.976","0.024"
"2018-02-17","0.99","0.013","0.792","0.195"
"2018-02-18","0.96","0.02","0.781","0.2"
"2018-02-19","-0.421","0.084","0.858","0.058"
"2018-02-20","-0.226","0.117","0.779","0.104"
"2018-02-21","-0.526","0.08","0.861","0.06"
"2018-02-22","0.883","0.03","0.783","0.187"
"2018-02-23","0.103","0.092","0.838","0.071"
"2018-02-24","0.459","0.042","0.881","0.077"
"2018-02-25","0.296","0.061","0.857","0.082"
"2018-02-26","0.691","0.025","0.886","0.089"
"2018-02-27","-0.866","0.102","0.845","0.053"
"2018-02-28","-0.103","0.071","0.868","0.061"
"2018-03-01","0.758","0.05","0.82","0.129"
"2018-03-02","0.961","0.084","0.728","0.187"
"2018-03-03","0.94","0.043","0.793","0.163"
"2018-03-04","0.103","0.078","0.841","0.081"
"2018-03-05","0.7","0","0.93","0.07"
"2018-03-06","0.954","0.012","0.849","0.14"
"2018-03-07","0.419","0.119","0.73","0.151"
"2018-03-08","-0.772","0.147","0.799","0.054"
"2018-03-09","-0.724","0.051","0.949","0"
"2018-03-10","0.709","0.115","0.699","0.187"
"2018-03-11","0.991","0.022","0.737","0.241"
"2018-03-12","-0.7","0.086","0.914","0"
"2018-03-13","0.772","0","0.838","0.162"
"2018-03-14","0.97","0","0.647","0.353"
"2018-03-15","-0.318","0.072","0.868","0.06"
"2018-03-16","0.813","0.089","0.736","0.175"
"2018-03-17","0.649","0.059","0.839","0.102"
"2018-03-18","0.941","0.046","0.78","0.174"
"2018-03-19","0.751","0.068","0.82","0.112"
"2018-03-20","0.838","0.074","0.786","0.14"
"2018-03-21","-0.71","0.129","0.821","0.049"
"2018-03-22","-0.844","0.134","0.806","0.06"
"2018-03-23","0.927","0.106","0.67","0.223"
"2018-03-24","-0.095","0.08","0.845","0.075"
"2018-03-25","0.677","0.087","0.763","0.15"
"2018-03-26","-0.822","0.116","0.884","0"
"2018-03-27","0.751","0.105","0.731","0.164"
"2018-03-28","0.662","0.076","0.827","0.098"
"2018-03-29","0.22","0.182","0.63","0.188"
"2018-03-30","0.735","0.03","0.879","0.091"
"2018-03-31","0.862","0","0.822","0.178"
"2018-04-01","0.862","0.079","0.745","0.175"
"2018-04-02","0.412","0.085","0.799","0.116"
"2018-04-03","0.477","0.093","0.761","0.146"
"2018-04-04","0.904","0.048","0.753","0.199"
"2018-04-05","0.718","0.038","0.829","0.133"
"2018-04-06","0.352","0.109","0.757","0.135"
"2018-04-07","0.765","0.057","0.79","0.152"
"2018-04-08","0.178","0.098","0.779","0.124"
"2018-04-09","0.929","0.039","0.825","0.136"
"2018-04-10","0.716","0.072","0.817","0.111"
"2018-04-11","0.25","0.12","0.754","0.127"
"2018-04-12","0.958","0.017","0.823","0.16"
"2018-04-13","-0.226","0.037","0.937","0.026"
"2018-04-14","0.84","0.164","0.627","0.21"
"2018-04-15","0.869","0.088","0.749","0.164"
"2018-04-16","0.931","0","0.83","0.17"
"2018-04-17","-0.612","0.144","0.73","0.126"
"2018-04-18","0.208","0.118","0.748","0.134"
"2018-04-19","0.727","0.043","0.863","0.095"
"2018-04-20","-0.66","0.134","0.786","0.08"
"2018-04-21","-0.382","0.15","0.709","0.141"
"2018-04-22","0.896","0.059","0.727","0.214"
"2018-04-23","0.994","0","0.75","0.25"
"2018-04-24","0.951","0.119","0.652","0.229"
"2018-04-25","-0.026","0.128","0.736","0.136"
"2018-04-26","0.741","0.137","0.669","0.194"
"2018-04-27","0.38","0.043","0.897","0.06"
"2018-04-28","0.128","0.08","0.819","0.1"
"2018-04-29","0.66","0.067","0.837","0.096"
"2018-04-30","0.204","0.145","0.692","0.163"
"2018-05-01","0.953","0","0.677","0.323"
"2018-05-02","0.013","0.045","0.92","0.035"
"2018-05-03","0.979","0.081","0.73","0.19"
"2018-05-04","0.077","0.175","0.67","0.155"
"2018-05-05","-0.296","0.061","0.939","0"
"2018-05-06","-0.938","0.228","0.623","0.15"
"2018-05-07","0.296","0.02","0.932","0.048"
"2018-05-08","-0.002","0.125","0.745","0.131"
"2018-05-09","-0.625","0.169","0.75","0.08"
"2018-05-10","0.922","0.051","0.778","0.171"
"2018-05-11","0.599","0.103","0.708","0.189"
"2018-05-12","-0.898","0.135","0.825","0.04"
"2018-05-13","0.918","0.113","0.702","0.185"
"2018-05-14","-0.893","0.187","0.748","0.065"
"2018-05-15","0.84","0.091","0.746","0.163"
"2018-05-16","0.906","0.073","0.771","0.155"
"2018-05-17","0.844","0.021","0.856","0.123"
"2018-05-18","0.87","0.085","0.73","0.185"
"2018-05-19","0.273","0.087","0.805","0.108"
"2018-05-20","0.869","0.053","0.827","0.12"
"2018-05-21","-0.026","0.081","0.838","0.081"
"2018-05-22","0.655","0.089","0.727","0.183"
"2018-05-23","-0.318","0.152","0.699","0.148"
"2018-05-24","-0.477","0.147","0.734","0.119"
"2018-05-25","0.881","0.013","0.868","0.119"
"2018-05-26","0.807","0.094","0.776","0.13"
"2018-05-27","-0.919","0.239","0.685","0.076"
"2018-05-28","0.939","0.052","0.791","0.158"
"2018-05-29","0.899","0.082","0.748","0.17"
"2018-05-30","0.887","0.097","0.721","0.182"
"2018-05-31","0.44","0.04","0.871","0.09"
"2018-06-01","0.942","0.021","0.87","0.109"
"2018-06-02","0.421","0.105","0.78","0.115"
"2018-06-03","0.794","0.098","0.745","0.158"
"2018-06-04","0.511","0.076","0.803","0.121"
"2018-06-05","-0.07","0.13","0.742","0.128"
"2018-06-06","-0.423","0.088","0.829","0.083"
"2018-06-07","0.511","0.059","0.847","0.094"
"2018-06-08","0.296","0","0.958","0.042"
"2018-06-09","0.785","0","0.913","0.087"
"2018-06-10","-0.915","0.157","0.728","0.115"
"2018-06-11","-0.794","0.155","0.734","0.111"
"2018-06-12","0.961","0.08","0.744","0.176"
"2018-06-13","0.881","0.06","0.679","0.262"
"2018-06-14","-0.273","0.055","0.908","0.037"
"2018-06-15","0.765","0.052","0.763","0.185"
"2018-06-16","0.952","0.028","0.778","0.193"
"2018-06-17","-0.123","0.165","0.663","0.171"
"2018-06-18","0.599","0.1","0.769","0.131"
"2018-06-19","-0.594","0.171","0.702","0.128"
"2018-06-20","-0.799","0.146","0.767","0.087"
"2018-06-21","0.421","0.161","0.679","0.16"
"2018-06-22","0.982","0.047","0.726","0.227"
"2018-06-23","0.941","0.096","0.707","0.197"
"2018-06-24","0.586","0.054","0.857","0.089"
"2018-06-25","0.881","0.047","0.815","0.138"
"2018-06-26","0.835","0.074","0.785","0.141"
"2018-06-27","-0.772","0.153","0.77","0.077"
"2018-06-28","-0.318","0.086","0.852","0.061"
"2018-06-29","-0.76","0.118","0.849","0.033"
"2018-06-30","-0.599","0.106","0.855","0.038"
"2018-07-01","0.536","0.125","0.713","0.162"
"2018-07-02","0.294","0","0.96","0.04"
"2018-07-03","0.945","0","0.793","0.207"
"2018-07-04","0.691","0.113","0.719","0.168"
"2018-07-05","0.859","0","0.824","0.176"
"2018-07-06","0.866","0.114","0.645","0.242"
"2018-07-07","0.612","0.127","0.71","0.163"
"2018-07-08","0.922","0.068","0.774","0.158"
"2018-07-09","0.052","0.099","0.796","0.106"
"2018-07-10","0.988","0.033","0.733","0.234"
"2018-07-11","0.487","0.131","0.734","0.136"
"2018-07-12","0.875","0.161","0.613","0.227"
"2018-07-13","-0.938","0.201","0.704","0.095"
"2018-07-14","-0.763","0.177","0.685","0.138"
"2018-07-15","0.971","0.065","0.715","0.22"
"2018-07-16","0.931","0.047","0.737","0.216"
"2018-07-17","-0.144","0.158","0.695","0.147"
"2018-07-18","0.582","0.108","0.759","0.133"
"2018-07-19","0.957","0.054","0.713","0.233"
"2018-07-20","-0.202","0.126","0.747","0.127"
"2018-07-21","0.974","0.096","0.575","0.329"
"2018-07-22","0.95","0.093","0.655","0.252"
"2018-07-23","0.402","0","0.958","0.042"
"2018-07-24","-0.976","0.247","0.678","0.075"
"2018-07-25","-0.691","0.154","0.742","0.104"
"2018-07-26","0.939","0.118","0.661","0.221"
"2018-07-27","0.71","0.078","0.798","0.123"
"2018-07-28","0.791","0.046","0.833","0.121"
"2018-07-29","-0.743","0.122","0.828","0.05"
"2018-07-30","-0.794","0.198","0.749","0.053"
"2018-07-31","0.701","0","0.932","0.068"
"2018-08-01","-0.422","0.141","0.707","0.151"
"2018-08-02","0.973","0.103","0.698","0.199"
"2018-08-03","0.745","0.091","0.755","0.154"
"2018-08-04","0.881","0.108","0.681","0.21"
"2018-08-05","0.893","0.017","0.813","0.17"
"2018-08-06","-0.875","0.136","0.802","0.062"
"2018-08-07","0.166","0.169","0.653","0.178"
"2018-08-08","0.698","0.152","0.662","0.186"
"2018-08-09","0.395","0.122","0.727","0.151"
"2018-08-10","-0.296","0.092","0.842","0.066"
"2018-08-11","-0.822","0.157","0.746","0.097"
"2018-08-12","0.974","0.111","0.585","0.304"
"2018-08-13","0.624","0.147","0.677","0.176"
"2018-08-14","-0.223","0.098","0.824","0.078"
"2018-08-15","0.878","0.05","0.752","0.199"
"2018-08-16","-0.866","0.221","0.634","0.144"
"2018-08-17","-0.961","0.25","0.615","0.135"
"2018-08-18","0.965","0","0.796","0.204"
"2018-08-19","0.787","0.11","0.741","0.148"
"2018-08-20","0.947","0.067","0.698","0.235"
"2018-08-21","0.751","0.052","0.838","0.11"
"2018-08-22","0.273","0.052","0.882","0.066"
"2018-08-23","0.986","0.039","0.71","0.251"
"2018-08-24","-0.354","0.023","0.967","0.01"
"2018-08-25","-0.971","0.214","0.689","0.096"
"2018-08-26","0.99","0.034","0.684","0.282"
"2018-08-27","0.949","0.056","0.74","0.204"
"2018-08-28","-0.504","0.111","0.8","0.089"
"2018-08-29","0.226","0.107","0.762","0.132"
"2018-08-30","-0.219","0.101","0.787","0.112"
"2018-08-31","0.909","0.037","0.836","0.127"
"2018-09-01","-0.382","0.12","0.758","0.122"
"2018-09-02","0.922","0.029","0.847","0.123"
"2018-09-03","0.95","0.091","0.74","0.17"
"2018-09-04","-0.891","0.165","0.764","0.07"
"2018-09-05","-0.625","0.156","0.759","0.086"
"2018-09-06","-0.71","0.154","0.846","0"
"2018-09-07","0.878","0.053","0.76","0.187"
"2018-09-08","0.856","0.022","0.807","0.171"
"2018-09-09","0.932","0.117","0.696","0.187"
